ActivityHour,hour_step
2016-04-27T18:00:00Z,1152.9375
2016-04-02T16:00:00Z,1049.7878787878788
2016-04-06T19:00:00Z,1020.96875
2016-04-04T19:00:00Z,993.5
2016-05-12T14:00:00Z,950.9166666666666
2016-04-16T13:00:00Z,941.59375
2016-04-19T16:00:00Z,938.84375
2016-04-26T12:00:00Z,937.46875
2016-05-10T17:00:00Z,931.5
2016-05-01T10:00:00Z,918.6333333333333
2016-05-04T17:00:00Z,917.1724137931035
2016-04-10T12:00:00Z,907.6153846153846
2016-05-11T14:00:00Z,885.7142857142857
2016-04-30T13:00:00Z,883.8333333333334
2016-05-11T17:00:00Z,877.4761904761905
2016-04-04T12:00:00Z,855.65625
2016-05-11T18:00:00Z,854.047619047619
2016-04-02T12:00:00Z,846.7272727272727
2016-04-11T18:00:00Z,844.9583333333334
2016-04-10T11:00:00Z,843.6923076923077
2016-05-06T14:00:00Z,826.2068965517242
2016-04-16T12:00:00Z,819.0625
2016-04-23T14:00:00Z,814.65625
2016-03-23T18:00:00Z,813.3030303030303
2016-05-09T19:00:00Z,810.48
2016-05-09T16:00:00Z,810.0769230769231
2016-04-06T17:00:00Z,808.40625
2016-03-12T14:00:00Z,801.7575757575758
2016-04-30T14:00:00Z,799
2016-05-02T18:00:00Z,794.5172413793103
2016-04-22T18:00:00Z,791.40625
2016-04-16T09:00:00Z,785.15625
2016-04-12T10:00:00Z,785.060606060606
2016-04-01T19:00:00Z,782.4545454545455
2016-04-24T15:00:00Z,779.15625
2016-04-08T12:00:00Z,778.4375
2016-04-05T18:00:00Z,777.34375
2016-03-13T14:00:00Z,775.8484848484849
2016-05-11T13:00:00Z,772.2380952380952
2016-03-15T12:00:00Z,771.8484848484849
2016-04-30T15:00:00Z,770
2016-05-03T18:00:00Z,769.7586206896551
2016-04-23T13:00:00Z,769.375
2016-05-11T16:00:00Z,762.1904761904761
2016-05-10T13:00:00Z,762.0833333333334
2016-03-16T18:00:00Z,760.9090909090909
2016-04-14T17:00:00Z,754.8787878787879
2016-03-27T16:00:00Z,751.7272727272727
2016-04-26T18:00:00Z,745
2016-05-10T19:00:00Z,744.25
2016-04-18T12:00:00Z,743.65625
2016-04-27T17:00:00Z,743.46875
2016-03-28T19:00:00Z,741.4848484848485
2016-04-07T19:00:00Z,740.53125
2016-04-02T11:00:00Z,736.8181818181819
2016-04-27T19:00:00Z,734.15625
2016-04-13T19:00:00Z,724.8787878787879
2016-03-18T18:00:00Z,723.5151515151515
2016-04-18T18:00:00Z,721.34375
2016-04-15T19:00:00Z,719.0625
2016-05-07T16:00:00Z,718.9629629629629
2016-04-18T08:00:00Z,716.59375
2016-04-19T12:00:00Z,714.78125
2016-05-06T19:00:00Z,714.0689655172414
2016-04-03T15:00:00Z,707.5625
2016-04-07T13:00:00Z,706.28125
2016-04-24T14:00:00Z,705.9375
2016-04-28T12:00:00Z,705.28125
2016-04-09T13:00:00Z,704.4285714285714
2016-04-30T11:00:00Z,704.1333333333333
2016-04-23T11:00:00Z,703.1875
2016-04-13T12:00:00Z,703
2016-05-01T09:00:00Z,695.5666666666667
2016-04-27T11:00:00Z,694.65625
2016-05-09T18:00:00Z,694.16
2016-04-15T18:00:00Z,688.78125
2016-03-22T18:00:00Z,688.030303030303
2016-04-08T13:00:00Z,687.09375
2016-04-20T18:00:00Z,682.75
2016-04-07T09:00:00Z,681.5
2016-04-04T11:00:00Z,676.4375
2016-04-11T10:00:00Z,672.2916666666666
2016-04-10T13:00:00Z,671.8076923076923
2016-04-20T17:00:00Z,671.78125
2016-03-16T19:00:00Z,671.060606060606
2016-03-18T17:00:00Z,665.6969696969697
2016-03-18T13:00:00Z,665.1515151515151
2016-05-07T12:00:00Z,662.9629629629629
2016-03-27T14:00:00Z,661.939393939394
